Route_name,Source,Destination,No_of_Stops_between_Source_to_Dest_including_Src_and_Dest,Total_number_of_Bus_Stops,Percentage_of_Bus_Stops_in_between,Maximum_number_of_Tickets_Sold,Total_Tickets_Sold,Pecentage_of_Tickets_Sold
AHL-PTHDN,KGLV Kogilu,YHKSC Yelahanka Santhe Circle,2,2,100.0,1,1,100.0
GNE-BSKDN,KTGP Kathriguppe,INDNH Indira Nursing Home,2,3,66.66667,1,1,100.0
132UP,SBST Shivajinagara Bus station,HLS-1 Halasuru,2,2,100.0,4,4,100.0
242-LUP,CDP Channadasipalya,TVK1 Tavarekere,2,19,10.526316,5,6,83.33333
DPJL-TYLUP,DPJN1 Deepanjalinagara,BPN Bapujinagara,2,2,100.0,1,1,100.0
JBS-HNR-KMTUP,BNKCLY Bank Colony,GNSBHV Ganesha Bhavan,2,2,100.0,1,1,100.0
D10-THSUP,JONGWR Jn of Nagavara,TLBSD Thanisandra,2,2,100.0,3,3,100.0
BSK-KML2SUP,BSKTTMC1 Banashankari TTMC,DYNDSC Dayananda Sagar College,2,3,66.66667,7,7,100.0
YLG-NMGDN,YLCGC Yelachagere Cross,NMGA Nelamangala Bus Station,2,2,100.0,2,2,100.0
GTG-DBSUP,BLKLI Bilekahalli,GRPLY Gurappanapalya,2,2,100.0,2,2,100.0
356-CW-FLYDN,RPNAGR Rupena Agrahara,HSRA2 SI Apartment HSR Layout,2,5,40.0,1,1,100.0
D35-KTHUP,BYDHL Bayandahalli,KTH1 Kittanahalli,3,3,100.0,1,1,100.0
D17CLO-RMSUP,NDH Nayandahalli,KGR2 Kengeri TTMC,2,2,100.0,1,1,100.0
YPR-PPLODN,RLIPBG Reliance Petrol Bunk Goraguntepalya,RJKSD1 Rajkumar Punya Bhoomi,2,3,66.66667,1,1,100.0
TVK-D35DN,TVK Tavarekere,CNHL1 Channenahalli (Towards Gollarahatti),2,2,100.0,1,1,100.0
BMT10-NBMSUP,BYPGT6 Bayyappanahalli Gate,SVMS1 Swamy Vivekananda Metro Station,2,2,100.0,7,7,100.0
AGP-D10DN,BRT Byrathi,HNRD-10 Depot-10 Hennuru Gate,2,2,100.0,1,1,100.0
D38-KRNUP,D38CKHN Depot-38 Gate,HSKU Huskur (Towards Gattahalli),2,2,100.0,1,1,100.0
KMGT-D12GDN,KMGT1 Kommaghatta,JOKTA Jn of Kommaghatta,2,2,100.0,1,1,100.0
KMT-SNBS 360KUP,LGHM Lalbagh Main Gate,SNTTMC3 Shanthinagara TTMC,2,2,100.0,1,1,100.0
D31G-MGHUP,MRTALY Mallathahalli Cross,MNGH1 Manganahalli,2,2,100.0,3,3,100.0
PPLO-KMT-KBSUP,CRPN Corporation (Towards Cauvery Bhavan),KBS123 Kempegowda Bus Station,2,8,25.0,7,7,100.0
D24-TNFYUP,ITID-24 Depot-24 ITI Layout,TIF Tin Factory,2,2,100.0,1,1,100.0
333-BUP,DMLUR Domlur (Towards HAL),MPH NAL Manipal Hospital ,2,4,50.0,1,1,100.0
252-GDN,JHC3 Jalahalli Cross,YTTMC1 Yashawanthapura TTMC,2,3,66.66667,9,11,81.818184
34-AUP,BANKC Bank Colony,SHVDH Banashankari 3rd Stage 2nd Phase,2,5,40.0,17,23,73.91304
GKH-D35GUP,BDH2 Byadarahalli (Towards Gollarahatti),GLH7 Gollarahatti (Towards Tavarakere),2,3,66.66667,3,4,75.0
KRM-NGVUP,KRMB1 1st Block Koramangala,SYWD1 Sony World 80ft Road  Koramangala,2,2,100.0,1,1,100.0
YBS-DRP80RUP,GVTSF1 Govt Soap Factory,NLO1 Nandini Layout Bus Stand,2,3,66.66667,35,38,92.10526
SNBS-LBAGH-KMTUP,SHNG Shanthinagara Bus Stop KH Road ,KMT1 KR Market (Kalasipalya),2,2,100.0,8,8,100.0
BEL-HIDFDN,MTKR1 Mattikere,YTTMC Yashawanthapura TTMC,2,3,66.66667,16,18,88.88889
255-AC VNC-VDHUP,ARSKT Arishinakunte (Towards Jalahalli Cross),DSNP Dasanapura (Towards Jalahalli Cross),2,4,50.0,1,1,100.0
RJNE-SBSUP,SJTR Sujatha Talkies,kcle Kodays Circle,2,4,50.0,11,12,91.66667
D06-ANSRUP,KRPRLY Railway Station KR Puram,ASTNG Ashwath Nagara (Towards Marathhalli Bridge),2,2,100.0,1,1,100.0
KBS-CWSUP,MHC Maharanis College,BMTCocf BMTC Old Central office,2,2,100.0,2,2,100.0
SNR-CVRNDN,TPS2 Thippasandra,BEML BEML Gate (Towards CV Raman Nagara),3,6,50.0,1,1,100.0
KBS-KHBQSUP,BNGUNVSTG Bengaluru University Gate (Towards Kengeri),KGR2 Kengeri TTMC,3,3,100.0,1,1,100.0
SGH-PNNUP,JBS4thB Jayanagara 4th Block,BSKTTMC1 Banashankari TTMC,3,3,100.0,161,163,98.77301
HLH-KRMTTMCDN,JHR Jn of Hosur Road,KRMDTTMC Koramangala TTMC,3,7,42.857143,3,4,75.0
CS-SOPS-HBLUP,MKC Mekhri Circle,HBL Hebbala (Towards Yalahanka),2,2,100.0,1,1,100.0
DKH-KRM TTMCDN,AGRA Agara (Towards Hebbala),JKS Jakkasandra,2,3,66.66667,3,4,75.0
YBS-NGWDN,MTKR Mattikere,DVNRA Devinagara,2,4,50.0,1,1,100.0
