Route_name,Source,Destination,No_of_Stops_between_Source_to_Dest_including_Src_and_Dest,Total_number_of_Bus_Stops,Percentage_of_Bus_Stops_in_between,Maximum_number_of_Tickets_Sold,Total_Tickets_Sold,Pecentage_of_Tickets_Sold
380QUP,DDPYCS3 Dandupalya Cross,ORHL Harohalli (Towards Umalu),4,22,18.181818,4,5,80.0
TNS-PSS 253MDN,BGLG1 Bagalagunte (Towards 8th Mile),JHC4 Jalahalli Cross,3,5,60.000004,5,13,38.46154
KMT-GJR-319JUP,PTAGC Pattandur Agrahara Gate,HOPF Hope Farm (Towards Varthuru),2,16,12.5,24,257,9.338521
171DN,WGPS Wilson Garden Police Station,KBS123 Kempegowda Bus Station,5,13,38.46154,1816,11361,15.9845085
501-GADN,RGGD Ragigudda Temple,BSK Banashankari Bus Station (Towards Kadirenahalli),2,12,16.666668,45,456,9.868422
Depot-10-SBSUP,CLSPRK Coles Park (Towards Bomboo Bazar),SBS1 Shivajinagara Bus Station,3,7,42.857143,6,32,18.75
303-EUP,KRMC1 KR Market,HRMU1 Horamavu,10,10,100.0,108,672,16.071428
PTH-HSK 289FUP,GND-1 Grandwell,BDC-1 Budigere Cross (Towards Hoskote),2,18,11.111112,14,171,8.187135
285-MCUP,NES NES Office,DBP Doddaballapura Old Bus Stand,14,14,100.0,198,1089,18.181818
BSK-MNHUP,KDBH1 Kadabisanahalli,VNPY2 Veeranapalya,10,14,71.42857,2,10,20.0
213-ADN,JRGH Jaraganahalli Cross,BSKTTMC1 Banashankari TTMC,2,12,16.666668,12,91,13.186814
506-AUP,PAG Pattandur Agrahara Gate,HDI2 Hoodi (Towards KR Puram),2,19,10.526316,72,1006,7.157058
285-RBDN,NES1 NES Office,KRM4 KR Market,12,25,48.0,16,238,6.7226896
V-129UP,KBS1 Kempegowda Bus Station,SBS1 Shivajinagara Bus Station,3,3,100.0,35,39,89.74359
211-MUP,BSK1 Banashankari Bus Station (Towards Konanakunte Cross),KKC Konanakunte Cross,3,22,13.636364,24,354,6.779661
V-356UP,MDWMK Madivala,KDG Kudlu Gate,6,23,26.086956,43,487,8.829569
CJP-CLOFDN,CBSJP1 Chowdeshwari Bus Stand JP Park,MLESHW 8th Cross Malleshwaram (Margosa Road),2,7,28.57143,1,3,33.333336
297-MUP,KANMGT Palya Gate,DVHOBS2 Devanahalli Old Bus Stand,2,13,15.384616,8,49,16.32653
243-ADN,BTS Bharath Nagara 1st Phase,SKDKT1 Sunkadakatte,2,11,18.181818,61,692,8.815029
300-DAUP,SBS0 Shivajinagara Bus Station,SRRKMTP SRR Kalyana Mantapa,7,8,87.5,30,292,10.2739725
YSTF-JBSUP,YST Yelahanka Satellite Town,NES1 NES Office,2,12,16.666668,5,35,14.285715
SBS-HTNUP,NGW Nagavara,TLBSD Thanisandra,2,5,40.0,31,55,56.363636
372-CDN,GTR1 Gottigere (Towards Kalena Agrahara),HMG Hulimavu Gate (Towards Jayadeva Hospital),2,13,15.384616,24,282,8.510638
KBS-ACC B6UP,HALPS1 HAL Kalyana Mantap ,KUDGT Kundalahalli Gate,3,12,25.0,15,106,14.150943
327-BUP,KRM4 KR Market,KDLGTE Kundalahalli Gate,11,16,68.75,45,794,5.667506
BC-7BDN,NLGH Nelagadarenahalli,8thML8 8th Mile (Towards Dasarahalli),2,8,25.0,1322,6281,21.047604
V-600MDN,BTM16th 16th Main BTM Layout ,BSKTTMC1 Banashankari TTMC,4,6,66.66667,14,28,50.0
238-ZDN,KBS1 Kempegowda Bus Station,SBS1 Shivajinagara Bus Station,3,12,25.0,94,833,11.284513
PTH-KIASUP,YHKSC1 Yelahanka Santhe Circle,SDHG1 Sadahalli Gate,4,4,100.0,1,1,100.0
289-FDN,BDG1 Budigere Cross (Towards Budigere),GND Grandwell,2,21,9.523809,118,1983,5.9505796
G-3DN,MDWL1 Madivala,OPRBT1 Brigade Road,11,20,55.0,1313,20872,6.2907243
TMH-KMT 248MDN,BGLG1 Bagalagunte (Towards 8th Mile),JHC4 Jalahalli Cross,2,15,13.333334,23,181,12.707183
1UP,JYNGR9B 9th Block Jayanagara (40th Cross),JTTMC Jayanagara TTMC,2,11,18.181818,71,514,13.813229
84UP,AGS Telephone Exchange AGO ,HRDG Harishchandra Ghat,4,10,40.0,46,242,19.008265
V-500KEDN,SJRH Sathya Sai Hospital,AECSL AECS Layout Cross,3,26,11.538462,128,1496,8.5561495
HKR-HKRGATEDN,HUSK Huskur (Towards Chikkanagamangala Gate),HSKGT Huskur Gate,3,3,100.0,17,22,77.27273
PSS-KNSSUP,PSS Peenya 2nd Stage,JHC2 Jalahalli Cross,3,7,42.857143,28,90,31.111113
HBLB-EYGUP,KRPRLY Railway Station KR Puram,GRDP Garudacharpalya,3,9,33.333336,4,10,40.0
354-CDN,BMH4 Bommanahalli (Towards St Johns),KBS123 Kempegowda Bus Station,8,19,42.105263,119,1437,8.281141
61CUP,SJT1 Sujatha Talkies,MGDTG Magadi Road TollGate ,2,3,66.66667,2,4,50.0
226-KUP,KMT1 KR Market (Kalasipalya),KGR2 Kengeri TTMC,6,17,35.294117,53,346,15.317919
KBS-VRP-YHKOTUP,KBS1 Kempegowda Bus Station,NJPAC Nanjappa Circle,11,18,61.11111,18,119,15.126051
BSK-KRPUP,RGD Ragigudda Temple,KDBH1 Kadabisanahalli,9,18,50.0,20,288,6.9444447
